val InitialState =
[
{loc=0, blk=1},
{loc=10, blk=1},
{loc=1, blk=2},
{loc=11, blk=2},
{loc=2, blk=3},
{loc=12, blk=3},
{loc=3, blk=4},
{loc=13, blk=4},
{loc=4, blk=5},
{loc=14, blk=5},
{loc=5, blk=6},
{loc=15, blk=6},
{loc=25, blk=6},
{loc=6, blk=7},
{loc=7, blk=7},
{loc=8, blk=7},
{loc=9, blk=7},
{loc=16, blk=8},
{loc=17, blk=8},
{loc=18, blk=8},
{loc=19, blk=8},
{loc=20, blk=9},
{loc=21, blk=9},
{loc=30, blk=10},
{loc=31, blk=10},
{loc=22, blk=11},
{loc=32, blk=11},
{loc=23, blk=100},
{loc=24, blk=100},
{loc=34, blk=13},
{loc=35, blk=13},
{loc=45, blk=14},
{loc=55, blk=14},
{loc=65, blk=14},
{loc=44, blk=15},
{loc=54, blk=15},
{loc=64, blk=15},
{loc=74, blk=15},
{loc=84, blk=15},
{loc=94, blk=15},
{loc=40, blk=16},
{loc=41, blk=16},
{loc=42, blk=16},
{loc=43, blk=16},
{loc=50, blk=12},
{loc=51, blk=12},
{loc=52, blk=12},
{loc=53, blk=12},
{loc=26, blk=17},
{loc=36, blk=17},
{loc=46, blk=17},
{loc=56, blk=17},
{loc=66, blk=17},
{loc=76, blk=17},
{loc=86, blk=17},
{loc=27, blk=18},
{loc=37, blk=18},
{loc=47, blk=18},
{loc=57, blk=18},
{loc=67, blk=18},
{loc=77, blk=18},
{loc=87, blk=18},
{loc=28, blk=19},
{loc=38, blk=19},
{loc=48, blk=19},
{loc=58, blk=19},
{loc=68, blk=19},
{loc=78, blk=19},
{loc=88, blk=19},
{loc=29, blk=20},
{loc=39, blk=20},
{loc=49, blk=21},
{loc=59, blk=21},
{loc=69, blk=21},
{loc=79, blk=21},
{loc=89, blk=22},
{loc=99, blk=22},
{loc=60, blk=23},
{loc=61, blk=23},
{loc=62, blk=23},
{loc=63, blk=23},
{loc=70, blk=24},
{loc=71, blk=24},
{loc=72, blk=24},
{loc=73, blk=24},
{loc=80, blk=25},
{loc=81, blk=25},
{loc=82, blk=25},
{loc=83, blk=25},
{loc=90, blk=26},
{loc=91, blk=26},
{loc=92, blk=26},
{loc=93, blk=26}
]
/
Exit Section = [loc=29]
.
