val InitialState =
[
{loc=0, blk=1},
{loc=1, blk=1},
{loc=2, blk=1},
{loc=3, blk=1},
{loc=4, blk=1},
{loc=5, blk=1},
{loc=6, blk=1},
{loc=7, blk=1},
{loc=8, blk=1},
{loc=9, blk=1},
{loc=11, blk=2},
{loc=12, blk=2},
{loc=13, blk=2},
{loc=14, blk=2},
{loc=15, blk=2},
{loc=16, blk=2},
{loc=17, blk=2},
{loc=18, blk=2},
{loc=19, blk=2},
{loc=22, blk=3},
{loc=23, blk=3},
{loc=24, blk=3},
{loc=25, blk=3},
{loc=26, blk=3},
{loc=27, blk=3},
{loc=28, blk=3},
{loc=29, blk=3},
{loc=33, blk=4},
{loc=34, blk=4},
{loc=35, blk=4},
{loc=36, blk=4},
{loc=37, blk=4},
{loc=38, blk=4},
{loc=39, blk=4},
{loc=44, blk=5},
{loc=45, blk=5},
{loc=46, blk=5},
{loc=47, blk=5},
{loc=48, blk=5},
{loc=49, blk=5},
{loc=55, blk=6},
{loc=56, blk=6},
{loc=57, blk=6},
{loc=58, blk=6},
{loc=59, blk=6},
{loc=66, blk=7},
{loc=67, blk=7},
{loc=68, blk=7},
{loc=69, blk=7},
{loc=77, blk=8},
{loc=78, blk=8},
{loc=79, blk=8},
{loc=88, blk=9},
{loc=89, blk=9},
{loc=98, blk=10},
{loc=99, blk=10},
{loc=10, blk=100}
]
/
Exit Section = [loc=99]
.
