val InitialState =
[{loc=0, blk=1},
{loc=10, blk=1},
{loc=20, blk=1},
{loc=30, blk=1},
{loc=40, blk=1},
{loc=50, blk=1},
{loc=60, blk=1},
{loc=70, blk=1},
{loc=2, blk=2},
{loc=3, blk=2},
{loc=4, blk=2},
{loc=5, blk=2},
{loc=12, blk=3},
{loc=13, blk=3},
{loc=14, blk=3},
{loc=15, blk=3},
{loc=7, blk=4},
{loc=17, blk=4},
{loc=21, blk=5},
{loc=31, blk=5},
{loc=41, blk=5},
{loc=23, blk=6},
{loc=33, blk=6},
{loc=24, blk=7},
{loc=34, blk=7},
{loc=44, blk=7},
{loc=25, blk=8},
{loc=35, blk=8},
{loc=45, blk=8},
{loc=26, blk=9},
{loc=27, blk=9},
{loc=46, blk=10},
{loc=56, blk=10},
{loc=47, blk=11},
{loc=57, blk=11},
{loc=38, blk=12},
{loc=48, blk=12},
{loc=58, blk=12},
{loc=68, blk=12},
{loc=39, blk=13},
{loc=49, blk=13},
{loc=59, blk=13},
{loc=69, blk=13},
{loc=67, blk=14},
{loc=77, blk=14},
{loc=73, blk=15},
{loc=74, blk=15},
{loc=75, blk=15},
{loc=76, blk=15},
{loc=81, blk=16},
{loc=82, blk=16},
{loc=83, blk=16},
{loc=84, blk=16},
{loc=85, blk=17},
{loc=86, blk=17},
{loc=87, blk=17},
{loc=88, blk=17},
{loc=42, blk=100},
{loc=43, blk=100},
{loc=51, blk=18},
{loc=52, blk=18},
{loc=53, blk=19},
{loc=63, blk=19},
{loc=62, blk=20},
{loc=72, blk=20}
]
/
Exit Section = [loc=49]
.
