val InitialState =
[
{loc=0, blk=1},
{loc=1, blk=2},
{loc=2, blk=2},
{loc=3, blk=2},
{loc=4, blk=2},
{loc=5, blk=2},
{loc=6, blk=2},
{loc=7, blk=2},
{loc=8, blk=2},
{loc=9, blk=2},
{loc=10, blk=3},
{loc=20, blk=3},
{loc=30, blk=3},
{loc=40, blk=3},
{loc=50, blk=3},
{loc=60, blk=3},
{loc=70, blk=3},
{loc=80, blk=3},
{loc=90, blk=3},
{loc=11, blk=4},
{loc=12, blk=4},
{loc=13, blk=4},
{loc=14, blk=4},
{loc=21, blk=5},
{loc=22, blk=5},
{loc=23, blk=5},
{loc=24, blk=5},
{loc=31, blk=6},
{loc=32, blk=6},
{loc=33, blk=6},
{loc=34, blk=6},
{loc=41, blk=100},
{loc=42, blk=100},
{loc=43, blk=100},
{loc=51, blk=8},
{loc=52, blk=8},
{loc=53, blk=8},
{loc=61, blk=9},
{loc=62, blk=9},
{loc=63, blk=9},
{loc=44, blk=10},
{loc=54, blk=10},
{loc=64, blk=10},
{loc=72, blk=11},
{loc=82, blk=11},
{loc=92, blk=11},
{loc=73, blk=12},
{loc=83, blk=12},
{loc=93, blk=12},
{loc=74, blk=13},
{loc=84, blk=13},
{loc=94, blk=13},
{loc=17, blk=14},
{loc=27, blk=14},
{loc=37, blk=14},
{loc=18, blk=15},
{loc=28, blk=15},
{loc=38, blk=15},
{loc=19, blk=16},
{loc=29, blk=16},
{loc=39, blk=16},
{loc=49, blk=17},
{loc=59, blk=17},
{loc=69, blk=17},
{loc=77, blk=18},
{loc=78, blk=18},
{loc=79, blk=18},
{loc=87, blk=19},
{loc=88, blk=19},
{loc=89, blk=19},
{loc=97, blk=20},
{loc=98, blk=20},
{loc=99, blk=20}
]
/
Exit Section = [loc=49]
.
