val InitialState =
[{loc=0, blk=1},
{loc=1, blk=1},
{loc=2, blk=1},
{loc=10, blk=2},
{loc=11, blk=2},
{loc=12, blk=2},
{loc=3, blk=3},
{loc=4, blk=3},
{loc=5, blk=3},
{loc=13, blk=4},
{loc=14, blk=4},
{loc=15, blk=4},
{loc=23, blk=5},
{loc=24, blk=5},
{loc=25, blk=5},
{loc=26, blk=6},
{loc=27, blk=6},
{loc=28, blk=6},
{loc=29, blk=6},
{loc=33, blk=7},
{loc=34, blk=7},
{loc=35, blk=7},
{loc=43, blk=100},
{loc=44, blk=100},
{loc=45, blk=100},
{loc=20, blk=8},
{loc=30, blk=8},
{loc=40, blk=8},
{loc=21, blk=9},
{loc=31, blk=9},
{loc=41, blk=9},
{loc=22, blk=10},
{loc=32, blk=10},
{loc=42, blk=10},
{loc=47, blk=11},
{loc=57, blk=11},
{loc=67, blk=11},
{loc=48, blk=12},
{loc=58, blk=12},
{loc=68, blk=12},
{loc=76, blk=13},
{loc=77, blk=13},
{loc=78, blk=13},
{loc=50, blk=14},
{loc=60, blk=14},
{loc=70, blk=14},
{loc=51, blk=15},
{loc=61, blk=15},
{loc=71, blk=15},
{loc=52, blk=16},
{loc=62, blk=16},
{loc=72, blk=16},
{loc=80, blk=17},
{loc=81, blk=17},
{loc=82, blk=17},
{loc=90, blk=18},
{loc=91, blk=18},
{loc=92, blk=18},
{loc=53, blk=19},
{loc=63, blk=19},
{loc=73, blk=19},
{loc=83, blk=19},
{loc=93, blk=19},
{loc=54, blk=20},
{loc=64, blk=20},
{loc=74, blk=20},
{loc=84, blk=20},
{loc=94, blk=20},
{loc=55, blk=21},
{loc=65, blk=21},
{loc=75, blk=21},
{loc=85, blk=21},
{loc=95, blk=21}
]
/
Exit Section = [loc=49]
.
