val InitialState =
[
{loc=4, blk=1},
{loc=14, blk=1},
{loc=24, blk=1},
{loc=5, blk=2},
{loc=15, blk=2},
{loc=25, blk=2},
{loc=30, blk=4},
{loc=31, blk=4},
{loc=32, blk=4},
{loc=40, blk=5},
{loc=41, blk=5},
{loc=42, blk=5},
{loc=34, blk=6},
{loc=44, blk=6},
{loc=35, blk=7},
{loc=45, blk=7},
{loc=55, blk=7},
{loc=52, blk=100},
{loc=53, blk=100},
{loc=54, blk=100},
{loc=3, blk=8},
{loc=13, blk=8},
{loc=23, blk=8},
{loc=50, blk=9},
{loc=60, blk=9},
{loc=70, blk=9},
{loc=80, blk=9},
{loc=51, blk=10},
{loc=61, blk=10},
{loc=71, blk=10},
{loc=81, blk=10},
{loc=62, blk=11},
{loc=63, blk=11},
{loc=64, blk=11},
{loc=65, blk=11},
{loc=66, blk=11},
{loc=72, blk=12},
{loc=73, blk=12},
{loc=74, blk=12},
{loc=82, blk=13},
{loc=83, blk=13},
{loc=84, blk=13},
{loc=90, blk=14},
{loc=91, blk=14},
{loc=92, blk=14},
{loc=93, blk=14},
{loc=94, blk=14},
{loc=33, blk=15},
{loc=43, blk=15},
]
/
Exit Section = [loc=59]
.
