val InitialState =
[
{loc=10, blk=1},
{loc=20, blk=1},
{loc=30, blk=2},
{loc=40, blk=2},
{loc=50, blk=2},
{loc=41, blk=3},
{loc=42, blk=3},
{loc=43, blk=3},
{loc=44, blk=3},
{loc=51, blk=100},
{loc=52, blk=100},
{loc=53, blk=100},
{loc=54, blk=100},
{loc=60, blk=4},
{loc=61, blk=4},
{loc=62, blk=4},
{loc=63, blk=4},
{loc=70, blk=5},
{loc=71, blk=5},
{loc=72, blk=5},
{loc=80, blk=6},
{loc=81, blk=6},
{loc=82, blk=6},
{loc=64, blk=7},
{loc=74, blk=7},
{loc=84, blk=7},
{loc=90, blk=8},
{loc=91, blk=8},
{loc=92, blk=8},
{loc=93, blk=8},
{loc=94, blk=8},
{loc=7, blk=9},
{loc=17, blk=9},
{loc=27, blk=9},
{loc=8, blk=10},
{loc=18, blk=10},
{loc=28, blk=10},
{loc=38, blk=10},
{loc=48, blk=10},
{loc=37, blk=11},
{loc=47, blk=11},
{loc=57, blk=11},
{loc=58, blk=12},
{loc=67, blk=13},
{loc=68, blk=13},
{loc=69, blk=13},
{loc=78, blk=14},
{loc=88, blk=14},
{loc=98, blk=14}
]
/
Exit Section = [loc=59]
.
