val InitialState =
[{loc=0, blk=1},
{loc=10, blk=1},
{loc=20, blk=1},
{loc=12,blk=2},
{loc=21, blk=100},
{loc=22, blk=100},
{loc=3, blk=3},
{loc=15, blk=5},
{loc=17, blk=5},
{loc=13, blk=3},
{loc=23, blk=3},
{loc=33, blk=3},
{loc=43, blk=3},
{loc=4, blk=4},
{loc=5, blk=4},
{loc=6, blk=4},
{loc=16,blk=5}, 
{loc=17, blk=5},
{loc=8,blk=6},
{loc=18, blk=6},
{loc=28, blk=6},
{loc=53, blk=7},
{loc=54, blk=7},
{loc=55, blk=7},
{loc=19, blk=8},
{loc=29, blk=8},
{loc=39, blk=8},
{loc=34, blk=9},
{loc=35, blk=9},
{loc=36, blk=9},
{loc=38, blk=10},
{loc=48, blk=10},
{loc=58, blk=10},
{loc=45, blk=11},
{loc=46, blk=11},
{loc=47, blk=11},
{loc=49, blk=12},
{loc=59, blk=12},
{loc=69, blk=12},
{loc=32, blk=13},
{loc=42, blk=13},
{loc=52, blk=13},
{loc=31, blk=14},
{loc=41, blk=14},
{loc=51, blk=14},
{loc=61, blk=14},
{loc=71, blk=14},
{loc=62, blk=15},
{loc=25, blk=16},
{loc=40, blk=17},
{loc=50, blk=17},
{loc=60, blk=17},
{loc=64, blk=18},
{loc=65, blk=18},
{loc=66, blk=18},
{loc=67, blk=18},
{loc=76, blk=19},
{loc=77, blk=19},
{loc=78, blk=19},
{loc=85, blk=20},
{loc=86, blk=20},
{loc=87, blk=20},
{loc=74, blk=21},
{loc=84, blk=21},
{loc=94, blk=21},
{loc=80, blk=22},
{loc=81, blk=22},
{loc=82, blk=22},
{loc=83, blk=22},
{loc=95, blk=23},
{loc=96, blk=23},
{loc=97, blk=23},
{loc=98, blk=23}
]
/
Exit Section = [loc=29]
.
