val InitialState =
[
{loc=30, blk=1},
{loc=31, blk=1},
{loc=32, blk=1},
{loc=33, blk=1},
{loc=34, blk=1},
{loc=15, blk=2},
{loc=25, blk=2},
{loc=35, blk=2},
{loc=16, blk=3},
{loc=26, blk=3},
{loc=36, blk=3},
{loc=46, blk=3},
{loc=17, blk=4},
{loc=27, blk=4},
{loc=37, blk=4},
{loc=47, blk=4},
{loc=40, blk=100},
{loc=41, blk=100},
{loc=42, blk=100},
{loc=54, blk=5},
{loc=64, blk=5},
{loc=74, blk=6},
{loc=84, blk=6},
{loc=85, blk=7},
{loc=86, blk=7},
{loc=87, blk=7},
{loc=88, blk=7},
{loc=89, blk=7},
{loc=91, blk=8},
{loc=92, blk=8},
{loc=93, blk=8},
{loc=94, blk=8},
{loc=95, blk=9},
{loc=96, blk=9},
{loc=97, blk=9},
{loc=98, blk=9},
{loc=0, blk=10},
{loc=1, blk=10},
{loc=2, blk=10},
{loc=3, blk=11},
{loc=4, blk=11},
{loc=5, blk=11},
{loc=6, blk=11},
{loc=7, blk=12},
{loc=8, blk=12},
{loc=9, blk=12},
{loc=60, blk=13},
{loc=70, blk=13},
{loc=80, blk=13},
{loc=90, blk=13}
]
/
Exit Section = [loc=49]
.
